country,latitude,longitude,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
CANADA,45.27,-75.42,1807.115333,1944.386333,1981.313333,2054.260333,2341.156333,2664.354667,3035.525667,3424.776333,3712.963333,3933.709667,4070.297667,4809.302333,5604.505,5797.923333,6233.831,6864.291,7481.945667,8113.208,8733.430333
AUSTRALIA,-35.15,149.08,3000.489667,3284.490667,3663.951667,3852.840667,3869.052,4244.288333,4555.315,4931.562,5470.267333,6332.546333,5233.134,5791.873,6599.712333,6847.067333,7309.186,7749.843667,7477.988,7536.599667,7847.000333
NEW ZEALAND,-41.19,174.46,288.8886667,320.2273333,356.8803333,375.0333333,396.2813333,491.783,505.989,489.7486667,484.4366667,503.6996667,454.197,498.3786667,562.7016667,621.773,618.2286667,740.764,836.0243333,771.925,771.7096667
MEXICO,19.2,-99.1,1807.115333,1944.386333,1981.313333,2054.260333,2341.156333,2664.354667,3035.525667,3424.776333,3712.963333,3933.709667,4070.297667,4809.302333,5604.505,5797.923333,6233.831,6864.291,7481.945667,8113.208,8733.430333
NICARAGUA,12.06,-86.2,52.06166667,70.76166667,57.79366667,60.03266667,61.731,77.08766667,82.13633333,102.5316667,113.4603333,138.0876667,123.178,160.1416667,193.3773333,205.8636667,161.818,221.92,212.9143333,209.8123333,236.337
CHINA,39.55,116.2,326.3646667,373.314,410.835,529.9913333,703.791,821.2826667,950.134,1220.051,1427.967333,1636.844333,1401.001333,1618.048667,1860.591333,1979.076667,2002.293667,2006.652667,1965.451333,1955.398667,2053.218667
URUGUAY,-34.5,-56.11,26.07666667,30.23433333,26.57333333,16.80933333,41.11333333,120.6806667,166.1296667,105.4563333,115.9133333,44.17333333,44.48833333,43.17066667,62.76766667,74.85366667,87.364,89.19,129.1473333,104.291,110.1003333
India ,28.37,77.13,314.9903333,329.444,289.421,321.4806667,344.269,379.4373333,378.9296667,400.168,398.2713333,503.8716667,422.252,561.685,1000.485,1903.637667,1435.759,1444.114667,1245.178333,1121.237667,1489.437667
